Date,Sony,Netflix,Blizzard,The stars group Inc,Nintendo
2020-02-25,100.68091842657424,115.23248984711478,109.85785526519679,101.17301628935834,89.02338370851933
2020-02-26,101.25098491683342,121.36068422543711,109.59941146758027,101.21490987788395,89.96716495826158
2020-02-27,96.4212146818301,118.95100735866772,107.67953508139321,93.50648958917094,87.27944040708081
2020-02-28,98.49564375310709,118.09338244722656,107.31032517298598,96.14578985564349,86.13048477101006
2020-03-02,101.59936970389961,121.93990213894533,111.8515824940588,99.16212404012886,88.69511330754561
2020-03-03,100.04750276967529,118.01017658197628,108.45486832028313,98.61751157865473,87.27944040708081
2020-03-04,102.59698962479843,122.81673694571785,115.46981965921431,99.95810641147439,89.84406894361638
2020-03-05,100.45921930453778,119.29342088685786,113.56839998406498,98.3242480802577,89.78251170363102
2020-03-06,99.95248931266859,118.07418247221295,110.70703934676166,96.60661095070752,90.02872219824692
2020-03-09,92.68408099179474,110.88034851932376,105.87040819163404,91.78885245962076,86.99220406269167
2020-03-10,95.53444194665268,116.52533413950314,112.07310548543863,91.87263963667198,89.22856014655068
2020-03-11,91.51227105265967,111.97799103900896,109.52557539322783,86.97108977917512,85.20721644615442
2020-03-12,83.2462364767621,100.88323149167115,100.71996125973644,70.75826683040356,79.85227001016536
2020-03-13,89.1844785689793,107.61944342601183,108.99022185675547,69.87850566072451,81.45260437207203
2020-03-16,81.8368936868759,95.63186199980358,97.3970831603132,55.927940681694984,77.88263734580887
2020-03-17,87.41092518096832,102.3232776192287,103.67362391263148,53.54000613573497,84.16085005495076
2020-03-18,86.7616773788859,100.95363406680643,102.62138093488576,51.02639082419812,83.5248201261871
2020-03-19,87.7276330094178,106.25300317619775,99.92616392564756,58.60913034733429,89.96716495826158
2020-03-20,84.02216836034304,106.50900753652942,96.08639638495094,66.35944422457293,89.26958599632391
2020-03-23,83.76880494793967,115.29008945214534,104.24589825534053,63.21742508515185,88.18218760023849
2020-03-24,90.26127980170135,114.34606497315322,100.47997417315763,72.76916745835076,91.58801224505488
2020-03-25,91.3380810344234,109.56831449224983,97.60014944065531,78.63426566257789,89.88510300020094
2020-03-26,95.80363908777073,116.16051765370148,106.5534486451338,80.39380057001254,94.09109380011925
2020-03-27,93.93507224275305,114.28205908291658,105.15045431605886,74.06786451328594,93.74230021574475
2020-03-30,95.28107061659317,118.71099967074146,107.93797887900975,76.12065035104105,98.76897214735443
2020-03-31,93.71337787131029,120.16384908841401,109.80247774792238,85.54670776930425,99.05621054344641
2020-04-01,90.02374695095021,116.50932786679024,106.14731793048986,84.08043217090774,99.40500412782092
2020-04-02,93.28582444067064,118.42938937020033,112.20232830726705,79.59781819866701,99.50758721757951
2020-04-03,91.02137478950515,115.76691144570745,110.72549790383968,77.96397243552691,98.56380596783725
2020-04-06,96.38954405733827,121.59109192585657,113.71607951693112,83.24256458975431,102.76979471605273
2020-04-07,96.05700408370534,119.13341576157369,110.52243162349757,82.27900367494748,102.74928179116611
2020-04-08,98.35312594289388,118.76220259087341,112.73768184373941,85.88185647750915,103.65202693262096
2020-04-09,97.51385597739174,118.63420041070755,111.61159540747998,90.69961915795479,103.59047995114977
2020-04-13,95.15439128568832,126.95446692548455,115.83902956762155,87.34813207590564,106.27820450233054
2020-04-14,97.27632312664059,132.3402352824166,116.81742908685358,86.51026030539336,108.78128400569207
2020-04-15,98.28978311037899,136.56437443004177,121.30330704461167,87.51570224064925,110.9766060329665
2020-04-16,98.55898658562197,140.53890590223386,125.62304875846591,90.1550025071218,113.04882178708156
2020-04-17,102.04275527972273,135.35153270029548,123.46317051737753,105.94888957063722,110.03282478322426
2020-04-20,100.63340773924283,140.0012813210433,122.76168073700131,104.48261397224073,108.53508376959033
2020-04-21,98.25811090235595,138.8300428439324,121.32177113981062,102.84875564102404,113.08985789536897
2020-04-22,99.25573715737966,134.8587239546457,123.64778562480286,103.05822777301098,112.53589607977446
2020-04-23,98.27394938166431,136.54837775763633,121.61713020554294,102.76497684269054,111.16125928759706
2020-04-24,99.69912431673399,136.00115318893896,123.03859047585715,105.15290719929169,112.49487023000123
